0.000000000	N
0.464399092	D
11.238458049	D/A
13.421133786	Bm
15.603809523	Gmaj7
17.740045351	D
19.876281179	D/A
22.198276643	Bm7
24.380952380	D
30.139501133	A
30.975419501	Bm7
33.111655328	G6
34.086893424	D
37.384126984	D/A
39.613242630	Bm7
41.749478458	G
43.839274376	D
45.511111111	Dm
46.393469387	D/A
48.390385487	Bm
50.526621315	Gmaj7
52.802176870	D
54.891972789	D/A
56.981768707	Bm
59.257324263	Gmaj7
61.486439909	D
64.644353741	A
65.851791383	Bm7
67.988027210	G
70.263582766	D
72.399818594	D/A
74.582494331	Bm
76.811609977	Gmaj7
78.854965986	D
81.084081632	D/A
83.173877551	Bm7
85.449433106	Gmaj7
87.399909297	Em7
87.910748299	D
90.929342403	A
92.090340136	Bm
94.180136054	Gmaj7
95.759092970	D
100.774603174	Bm
102.910839002	Gmaj7
105.047074829	D
107.276190476	D/A
109.598185941	Bm7
111.687981859	G
113.592018140	D
115.867573696	G/A
117.678730158	D/A
118.236009070	E/B
118.932607709	Bm7
120.279365079	G
122.276281179	D
124.644716553	A7
126.223673469	D/A
126.966712018	Bm7
128.963628117	G
130.681904761	D
133.561179138	D/A
135.697414965	Bm7
137.833650793	G
139.737687074	D
142.245442176	D/A
144.335238095	Bm
146.564353741	G
148.654149659	D
153.158820861	Bm7
155.295056689	G6
156.920453514	D
161.889523809	Bm
164.072199546	G
166.208435374	D
168.483990929	G/A
169.412789115	A7
170.388027210	Bm7
172.570702947	G
174.753378684	D
177.075374149	G/A
178.143492063	A7
178.979410430	Bm7
181.487165532	Gmaj7
183.484081632	D
184.598639455	G
185.434557823	D/A
188.081632653	Bm7
190.217868480	Gmaj7
192.261224489	D
193.468662131	G/D
194.072380952	D/A
196.765895691	Bm7
199.041451247	G
200.899047619	G6
201.456326530	D
205.589478458	Bm7
207.679274376	G
209.769070294	D
212.416145124	A7
213.948662131	Bm7
216.456417233	G
218.360453514	D
240.465850340	Bm
241.255328798	D
247.571156462	A7
249.196553287	Bm7
251.611428571	G
253.608344671	D
256.069659863	A7
257.834376417	Bm7
260.156371882	G
262.153287981	D
264.800362811	A7
266.657959183	Bm7
268.933514739	G
271.069750566	D
273.484625850	A7
275.202902494	Bm7
277.571337868	G
279.893333333	D
282.029569160	A7
285.930521541	G6
286.812879818	D
290.667392290	D/A
292.850068027	Bm7
296.333061224	N
296.333061224	N
